cluster_id_A,cluster_size,total_frequency,avg_frequency,seed_words_in_cluster,total_search_volume,avg_search_volume,example_phrases,avg_word_count,question_ratio,noise_flag
42,502,502,1.0,code,17257200,34376.89243027889,00989 area code; 202 telephone code; 203 area code; 205 area code; 206 telephone code,3.412350597609562,0.02390438247011952,False
39,306,309,1.0098039215686274,"Best,builder,code,pattern,style",3212200,10497.385620915033,best buy coupon code; build a bear promo code; northern tool promo code; 32 degrees discount code; abercrombie & fitch coupons and promo codes,3.473856209150327,0.0,False
35,92,96,1.0434782608695652,"Best,How-to,maker,style,top",885700,9627.173913043478,how to cook top sirloin steak; how to make a soft boiled egg; how to make over easy eggs; how to make ribs in the oven; beef cuts best,5.576086956521739,0.8369565217391305,False
56,79,79,1.0,"Best,ideas",748300,9472.151898734177,50 best restaurants in the world; best accommodation hawaii; best beaches in california; best beaches in costa rica; best beaches in florida,4.481012658227848,0.0,False
54,77,77,1.0,"Best,How-to,face,ideas,style,top",661400,8589.61038961039,beard beard styles; beard styles men; best beard trimmers for men; best clarifying shampoo; best concealer for mature skin,4.1558441558441555,0.025974025974025976,False
14,71,74,1.0422535211267605,"How-to,anime,assistant,maker,starter",807400,11371.830985915492,how much do dental assistants make; how much does a medical assistant make; how to become an anesthesiologist assistant; administrative assistant; administrative assistant job description,4.098591549295775,0.22535211267605634,False
22,61,61,1.0,logo,570200,9347.540983606557,alfa romeo logo; alligator logo; army logo; astros logo; atlanta falcons logo,2.4754098360655736,0.0,False
23,58,58,1.0,calculator,614400,10593.103448275862,401k loan calculator; asphalt calculator; auto calculator loan; auto finance calculator online; auto financing calculator,3.103448275862069,0.0,False
7,57,57,1.0,tester,889800,15610.526315789473,albumin blood test; alkaline phosphatase blood test; ase practice test; ast blood test; bloodwork ck test,4.035087719298246,0.07017543859649122,False
51,49,49,1.0,top,532600,10869.387755102041,black corset top; black halter top; black lace top; black tank top; black top,2.693877551020408,0.0,False
61,48,49,1.0208333333333333,"Best,builder,designer,ideas",557400,11612.5,fingernail design ideas for short nails; acrylic designs for nails; acrylic nail designs; acrylic nail ideas; best gel nail polish,3.5833333333333335,0.0,False
1,47,47,1.0,starter,379800,8080.851063829788,adjectives starting with ag; adjectives starting with ay; adjectives that start with a; adjectives that start with b; adjectives that start with c,5.1063829787234045,0.0,False
29,46,47,1.0217391304347827,"Best,How-to,finder,model,video,viewer",774900,16845.652173913044,how to download instagram videos; best nudes; best of the best porn; best pornographic videos; best sex videos,3.282608695652174,0.08695652173913043,False
34,45,45,1.0,"Best,tool",475000,10555.555555555555,bag tool bag; best backpack; construction tools; craftman tool box; dewalt tool box,3.088888888888889,0.0,False
49,39,42,1.0769230769230769,"Best,How-to,maker,top",587200,15056.410256410256,best keurig coffee maker; how to clean a coffee maker; how to clean coffee maker; best oven cleaner; best shower head,5.102564102564102,0.8205128205128205,False
58,41,42,1.024390243902439,"Best,anime,designer,face,ideas,style",405700,9895.121951219513,best friend tattoo ideas; anime tattoos; best friend tattoos; chest tattoo ideas for guys; couple tattoo ideas,3.341463414634146,0.0,False
19,40,41,1.025,"Best,anime",411600,10290.0,best video games; animal crossing amiibo cards; animal crossing characters; animal crossing gamecube; animal crossing games,3.45,0.0,False
28,33,39,1.1818181818181819,"Best,How-to,maker,top",339500,10287.878787878788,how to make bbq sauce with bbq sauce; how to make big mac sauce; how to make cocktail sauce; how to make honey and mustard sauce; how to make vodka sauce,3.6363636363636362,0.24242424242424243,False
46,37,37,1.0,code,381300,10305.405405405405,california state zip code; california zip code; code zip california; code zip las vegas; code zip san francisco,4.891891891891892,0.0,False
48,36,37,1.0277777777777777,"How-to,anime,builder,maker,pattern,top",334000,9277.777777777777,how to make a bow out of ribbon; animal toys; axolotl stuffed animal; creature stuffed animals; crochet animals,3.7777777777777777,0.19444444444444445,False
60,37,37,1.0,"How-to,ideas,tool",406400,10983.783783783783,18th birthday ideas; 21st birthday ideas; 30th birthday ideas; 50th birthday party ideas; 60th birthday gift ideas,3.3513513513513513,0.02702702702702703,False
